day,w_temp_4C,w_temp_6C,w_temp_8C,w_temp_10C,w_temp_12C,w_temp_14C,w_temp_16C,w_temp_18C,w_temp_20C
252,125.199415,232.044424,450.79869,793.890918,1128.637535,1214.710289,977.391029,610.714017,324.510597
253,125.598458,233.178794,453.68418,799.822998,1137.725375,1224.629166,985.036454,614.987876,326.357018
254,125.998391,234.317039,456.582568,805.786022,1146.864288,1234.604571,992.723622,619.282619,328.210778
255,126.399214,235.459167,459.493888,811.780081,1156.054437,1244.636687,1000.452665,623.598302,330.071893
256,126.800929,236.605185,462.418172,817.805267,1165.295987,1254.725697,1008.223712,627.934985,331.94038
257,127.203536,237.7551,465.355454,823.861673,1174.589101,1264.871786,1016.036893,632.292725,333.816257
258,127.607037,238.90892,468.305766,829.949391,1183.933943,1275.075138,1023.892338,636.671582,335.699538
259,128.011433,240.066654,471.26914,836.068513,1193.330676,1285.335936,1031.790177,641.071612,337.590242
260,128.416725,241.228307,474.245611,842.219131,1202.779466,1295.654364,1039.730541,645.492876,339.488385
261,128.822915,242.393888,477.235211,848.401338,1212.280475,1306.030607,1047.713561,649.93543,341.393983
262,129.230002,243.563405,480.237973,854.615226,1221.83387,1316.46485,1055.739366,654.399333,343.307054
263,129.637989,244.736865,483.25393,860.860888,1231.439813,1326.957277,1063.808087,658.884644,345.227613
264,130.046877,245.914275,486.283116,867.138415,1241.09847,1337.508072,1071.919855,663.391422,347.155678
265,130.456666,247.095643,489.325562,873.447902,1250.810005,1348.117422,1080.074802,667.919724,349.091265
266,130.867359,248.280977,492.381303,879.78944,1260.574584,1358.78551,1088.273057,672.46961,351.034392
267,131.278955,249.470285,495.450371,886.163122,1270.392372,1369.512523,1096.514751,677.041137,352.985074
268,131.691456,250.663573,498.5328,892.569041,1280.263533,1380.298645,1104.800017,681.634366,354.943329
269,132.104864,251.86085,501.628623,899.00729,1290.188232,1391.144062,1113.128985,686.249354,356.909173
270,132.519179,253.062123,504.737872,905.477963,1300.166636,1402.048959,1121.501786,690.88616,358.882623
271,132.934403,254.2674,507.860582,911.981151,1310.19891,1413.013524,1129.918552,695.544843,360.863696
272,133.350536,255.476689,510.996785,918.516948,1320.285219,1424.03794,1138.379414,700.225461,362.852408
273,133.76758,256.689996,514.146514,925.085447,1330.425729,1435.122396,1146.884505,704.928075,364.848778
274,134.185536,257.90733,517.309803,931.686741,1340.620607,1446.267076,1155.433955,709.652741,366.85282
275,134.604405,259.128698,520.486685,938.320925,1350.870017,1457.472167,1164.027896,714.39952,368.864553
276,135.024189,260.354107,523.677193,944.98809,1361.174127,1468.737856,1172.666461,719.168471,370.883992
277,135.444887,261.583567,526.881361,951.688331,1371.533103,1480.064329,1181.349781,723.959652,372.911155
278,135.866503,262.817083,530.099222,958.421741,1381.94711,1491.451774,1190.077989,728.773122,374.946059
279,136.289036,264.054664,533.33081,965.188413,1392.416316,1502.900376,1198.851216,733.608941,376.98872
280,136.712487,265.296318,536.576157,971.988442,1402.940888,1514.410324,1207.669596,738.467168,379.039155
281,137.136859,266.542051,539.835297,978.82192,1413.520991,1525.981804,1216.533259,743.347862,381.097382
282,137.562152,267.791873,543.108264,985.688942,1424.156793,1537.615005,1225.44234,748.251081,383.163417
283,137.988367,269.045789,546.39509,992.589602,1434.848461,1549.310112,1234.396969,753.176886,385.237276
284,138.415505,270.303809,549.69581,999.523993,1445.596163,1561.067315,1243.397281,758.125336,387.318977
285,138.843568,271.565939,553.010457,1006.492209,1456.400065,1572.8868,1252.443408,763.096489,389.408538
286,139.272556,272.832187,556.339065,1013.494344,1467.260334,1584.768757,1261.535483,768.090406,391.505973
287,139.702471,274.102561,559.681666,1020.530492,1478.177139,1596.713372,1270.673638,773.107146,393.611302
288,140.133314,275.377069,563.038294,1027.600748,1489.150647,1608.720834,1279.858007,778.146767,395.724539
289,140.565086,276.655718,566.408984,1034.705206,1500.181026,1620.791332,1289.088722,783.209331,397.845704
290,140.997789,277.938517,569.793768,1041.84396,1511.268444,1632.925054,1298.365918,788.294895,399.974811
291,141.431422,279.225471,573.192681,1049.017104,1522.413068,1645.122189,1307.689727,793.40352,402.111879
292,141.865988,280.516591,576.605755,1056.224732,1533.615067,1657.382925,1317.060284,798.535265,404.256925
293,142.301488,281.811882,580.033024,1063.46694,1544.87461,1669.707451,1326.47772,803.690191,406.409965
294,142.737923,283.111352,583.474523,1070.743822,1556.191864,1682.095957,1335.942171,808.868355,408.571015
295,143.175293,284.415011,586.930284,1078.055472,1567.566998,1694.548632,1345.45377,814.06982,410.740095
296,143.613601,285.722864,590.400342,1085.401984,1579.000181,1707.065664,1355.01265,819.294643,412.917219
297,144.052847,287.03492,593.884729,1092.783455,1590.491581,1719.647245,1364.618945,824.542885,415.102406
298,144.493032,288.351187,597.383481,1100.199978,1602.041368,1732.293562,1374.272791,829.814605,417.295672
299,144.934158,289.671671,600.89663,1107.651648,1613.64971,1745.004806,1383.97432,835.109865,419.497035
300,145.376225,290.996382,604.424211,1115.13856,1625.316777,1757.781167,1393.723666,840.428722,421.706511
301,145.819235,292.325326,607.966257,1122.66081,1637.042737,1770.622835,1403.520965,845.771238,423.924117
302,146.263189,293.658512,611.522802,1130.218492,1648.827761,1783.53,1413.36635,851.137473,426.149871
303,146.708088,294.995946,615.09388,1137.811701,1660.672017,1796.502852,1423.259957,856.527485,428.38379
304,147.153934,296.337638,618.679524,1145.440533,1672.575676,1809.541582,1433.201919,861.941336,430.62589
305,147.600727,297.683594,622.279769,1153.105082,1684.538907,1822.646381,1443.192371,867.379086,432.876189
306,148.048468,299.033822,625.894649,1160.805445,1696.56188,1835.817438,1453.231448,872.840794,435.134704
307,148.497159,300.38833,629.524197,1168.541716,1708.644764,1849.054946,1463.319285,878.326521,437.401452
308,148.946801,301.747126,633.168447,1176.31399,1720.787731,1862.359095,1473.456016,883.836327,439.67645
309,149.397395,303.110217,636.827433,1184.122364,1732.990949,1875.730076,1483.641778,889.370272,441.959715
310,149.848942,304.477611,640.50119,1191.966933,1745.25459,1889.16808,1493.876704,894.928417,444.251264
311,150.301444,305.849317,644.189751,1199.847793,1757.578825,1902.673299,1504.160931,900.510821,446.551115
312,150.7549,307.225341,647.89315,1207.765038,1769.963822,1916.245924,1514.494593,906.117546,448.859284
313,151.209314,308.605691,651.611421,1215.718766,1782.409754,1929.886148,1524.877825,911.748651,451.175789
314,151.664685,309.990376,655.344599,1223.709071,1794.916791,1943.594161,1535.310765,917.404197,453.500647
315,152.121015,311.379403,659.092717,1231.73605,1807.485104,1957.370156,1545.793546,923.084244,455.833876
316,152.578305,312.772779,662.855809,1239.799798,1820.114865,1971.214326,1556.326305,928.788854,458.175491
317,153.036556,314.170513,666.63391,1247.900412,1832.806243,1985.126861,1566.909177,934.518086,460.525511
318,153.49577,315.572612,670.427054,1256.037987,1845.559411,1999.107955,1577.542298,940.272001,462.883953
319,153.955947,316.979085,674.235275,1264.21262,1858.37454,2013.1578,1588.225805,946.05066,465.250833
320,154.417089,318.389938,678.058606,1272.424406,1871.251801,2027.276588,1598.959833,951.854123,467.62617
321,154.879197,319.805179,681.897083,1280.673443,1884.191367,2041.464513,1609.744519,957.682451,470.00998
322,155.342272,321.224817,685.750739,1288.959826,1897.193408,2055.721767,1620.579998,963.535705,472.40228
323,155.806314,322.64886,689.619608,1297.283651,1910.258097,2070.048544,1631.466407,969.413945,474.803088
324,156.271326,324.077314,693.503726,1305.645016,1923.385606,2084.445036,1642.403883,975.317232,477.212422
325,156.737309,325.510188,697.403125,1314.044016,1936.576107,2098.911437,1653.392561,981.245628,479.630297
326,157.204263,326.94749,701.317841,1322.480749,1949.829772,2113.44794,1664.432579,987.199193,482.056733
327,157.67219,328.389227,705.247908,1330.95531,1963.146773,2128.054739,1675.524073,993.177987,484.491745
